ship_name;standardized_name
Prins Henrick;Prins Hendrik
Prins Maurits;Prins Maurits
Prins Mouris;Prins Maurits
de Prins te Paert;Prins te Paard
Prins Willem;Prins Willem
Prins Willm;Prins Willem
Prins Wilm;Prins Willem
de Prinsses;Prinses
Princes;Prinses
de Princes;Prinses
de Princes Aemelia;Prinses Emilia
de Princes Emilia;Prinses Emilia
de Princes Roijael;Prinses Royaal
de Princes Royael;Prinses Royaal
de Princesse Roiael;Prinses Royaal
de Princesse Roial;Prinses Royaal
de Princesse Roiale;Prinses Royaal
de Princesse Roijale;Prinses Royaal
de Prinses Roijael;Prinses Royaal
Princes Roijael;Prinses Royaal
den Propheet Daniel;Profeet Daniel
de Provintien van Seelandt;Provinciën van Zeeland
de Puydt;Puydt
de Raven;Raven
Reael;Reaal
Rebecca;Rebecca
de Reijger;Reiger
de Raijger;Reiger
de Rayger;Reiger
den Raijger;Reiger
de Robijn;Robijn
de Rode Forthuijn;Rode Fortuin
de Rode Leeu;Rode Leeuw
de Rode Leu;Rode Leeuw
de Roo Leeu;Rode Leeuw
de Roode Leeu;Rode Leeuw
Rotterdam;Rotterdam
de Roose Boom;Rozenboom
de Roseboom;Rozenboom
de Rosenboom;Rozenboom
d Salmander;Salamander
de Salmander;Salamander
de Salmandr.;Salamander
de salmanr.;Salamander
den Salmander;Salamander
des Salmander;Salamander
d'Salmander;Salamander
Salmander;Salamander
Salomons Tempel;Salomons Tempel
de Salvador;Salvador
den Salvadoor;Salvador
Salvador;Salvador
Sampson;Samson
de Schaepharder;Schaapsherder
de Schaepherder;Schaapsherder
Schippen;Schoppe
Schoppen;Schoppe
de Schou;Schou
Schou;Schou
Slooten;Sloten
Slooterdyck;Sloterdijk
Sloterdijck;Sloterdijk
Sloterdyck;Sloterdijk
de Snoeck;Snoek
d'Snoeck;Snoek
Sparendam;Spaarndam
de Sparwer;Sperwer
de Sperwer;Sperwer
Spaera Mundi;Sphaera Mundi
Speermont;Sphaera Mundi
Speramundi;Sphaera Mundi
Spermondi;Sphaera Mundi
Sphera Mundi;Sphaera Mundi
Spheramundi;Sphaera Mundi
de Spiegel;Spiegel
de Spreew;Spreeuw
St. Anthonij;St. Anthoni
St. Catharina;St. Catharina
Sta. Chatarina;St. Catharina
St. Christoffel;St. Christoffel
Ste. Christoffel;St. Christoffel
St Francisco;St. Franscisco
St Fransicus;St. Franscisco
St Fransisco;St. Franscisco
St Franssisco;St. Franscisco
St. Francisco;St. Franscisco
St. Fransisou;St. Franscisco
S. Jacob;St. Jacob
Sant Jacob;St. Jacob
St Jacob;St. Jacob
St. Jacob;St. Jacob
St. Jan;St. Jan
St Jan Babtista;St. Jan Baptista
St. Jan Baptista;St. Jan Baptista
St Jeronimus;St. Jeronimus
Sint Lourens;St. Laurens
St. Laurens;St. Laurens
St. Lourens;St. Laurens
Sta Maria;St. Maria
St Maria;St. Maria
St. Maria;St. Maria
Sta. Maria;St. Maria
St. Mathijs;St. Mattheus
St Matheus;St. Mattheus
