id,begin_coordinates,begin_scanname,end_coordinates,end_scanname
,"605,104",KLAD01982000026,"4964,1880",KLAD01982000026
https://archief.amsterdam/indexen/deeds/e557c10e-a414-7dcb-e053-b784100a971b,"2899,2182",KLAC01164000055,"2543,2336",KLAC01164000056
,"3077,1995",KLAD01887000166,"2700,3296",KLAD01887000167
,"4321,202",KLAB04820000110,"7131,5537",KLAB04820000110
https://archief.amsterdam/indexen/deeds/9d6d21e0-5b83-666d-e053-b784100a1840,"2482,158",A23658000168,"4182,2753",A23658000168
,"1947,125",KLAD02306000017,"3516,2697",KLAD02306000018
,"2742,115",KLAD03375000021,"2381,1500",KLAD03375000022
,"2696,140",KLAB05564000007,"2324,1181",KLAB05564000008
,"2329,168",KLAD01840000225,"3732,1655",KLAD01840000225
https://archief.amsterdam/indexen/deeds/e557c10e-f917-7dcb-e053-b784100a971b,"2958,144",KLAB05555000053,"4983,3157",KLAB05555000053
https://archief.amsterdam/indexen/deeds/a3cb51cc-4b5a-50ee-e053-b784100a6caf,"2914,170",KLAB05562000064,"4981,3780",KLAB05562000064
,"424,125",A26669000074,"4906,1809",A26669000074
,"2886,204",A24963000040,"4895,3726",A24963000040
https://archief.amsterdam/indexen/deeds/9d6d21e1-30f0-666d-e053-b784100a1840,"2627,179",A23645000249,"4437,3384",A23645000249
,"2927,230",A20429000052,"5563,3969",A20429000052
,"2858,130",KLAD01893000051,"4899,3188",KLAD01893000051
,"496,156",A16039000070,"3376,1683",A16039000070
,"420,170",KLAC01212000092,"5076,2065",KLAC01212000092
,"349,286",KLAD01549000072,"3526,2794",KLAD01549000072
,"366,141",KLAD03195000008,"2376,1568",KLAD03195000010
,"1950,139",A16581000066,"3502,2654",A16581000066
https://archief.amsterdam/indexen/deeds/d0092ad0-4feb-1a7b-e053-b784100aab8a,"845,2141",NOTG00054000153,"2985,3918",NOTG00054000153
,"1899,169",A16039000063,"3398,2561",A16039000063
https://archief.amsterdam/indexen/deeds/9d6d21e3-fa0b-666d-e053-b784100a1840,"312,255",A23655000006,"2122,3231",A23655000006
https://archief.amsterdam/indexen/deeds/d0092ad0-4fef-1a7b-e053-b784100aab8a,"744,308",NOTG00054000244,"2937,3535",NOTG00054000244
https://archief.amsterdam/indexen/deeds/9d6d21e3-fa0c-666d-e053-b784100a1840,"549,139",A23658000174,"2251,2923",A23658000174
https://archief.amsterdam/indexen/deeds/9d6d21e2-2520-666d-e053-b784100a1840,"2341,174",A23660000033,"4260,2980",A23660000033
